PT08.S1(CO),PT08.S2(NMHC),C6H6(GT),NOx(GT)
1360.0,1046.0,11.9,166.0
1292.0,955.0,9.4,103.0
1402.0,939.0,9.0,131.0
1376.0,948.0,9.2,172.0
1272.0,836.0,6.5,131.0
1197.0,750.0,4.7,89.0
1185.0,690.0,3.6,62.0
1136.0,672.0,3.3,62.0
1094.0,609.0,2.3,45.0
1010.0,561.0,1.7,180.0
1011.0,527.0,1.3,21.0
1066.0,512.0,1.1,16.0
1052.0,553.0,1.6,34.0
1144.0,667.0,3.2,98.0
1333.0,900.0,8.0,174.0
1351.0,960.0,9.5,129.0
1233.0,827.0,6.3,112.0
1179.0,762.0,5.0,95.0
1236.0,774.0,5.2,104.0
1286.0,869.0,7.3,146.0
1371.0,1034.0,11.5,207.0
1310.0,933.0,8.8,184.0
1292.0,912.0,8.3,193.0
1383.0,1020.0,11.2,243.0
1581.0,1319.0,20.8,281.0
1776.0,1488.0,27.4,383.0
1640.0,1404.0,24.0,351.0
1313.0,1076.0,12.8,240.0
965.0,749.0,4.7,94.0
913.0,629.0,2.6,47.0
1080.0,805.0,5.9,122.0
1044.0,829.0,6.4,133.0
988.0,718.0,4.1,82.0
889.0,574.0,1.9,180.0
831.0,506.0,1.1,21.0
847.0,501.0,1.0,30.0
927.0,571.0,1.8,56.0
1091.0,730.0,4.4,109.0
1587.0,1236.0,17.9,307.0
1545.0,1353.0,22.1,180.0
1350.0,1118.0,14.0,187.0
1263.0,1037.0,11.6,216.0
1206.0,986.0,10.2,143.0
1252.0,1016.0,11.0,160.0
1287.0,1078.0,12.8,163.0
1353.0,1122.0,14.2,190.0
1309.0,1073.0,12.7,178.0
1274.0,1041.0,11.7,150.0
1510.0,1277.0,19.3,206.0
1525.0,1246.0,18.2,202.0
1843.0,1610.0,32.6,340.0
1598.0,1299.0,20.1,274.0
1484.0,1127.0,14.3,253.0
1677.0,1346.0,21.8,300.0
1280.0,964.0,9.6,193.0
1196.0,873.0,7.4,139.0
1184.0,782.0,5.4,83.0
1172.0,783.0,5.4,180.0
1147.0,821.0,6.2,109.0
978.0,625.0,2.6,62.0
1100.0,646.0,2.9,53.0
1112.0,770.0,5.1,139.0
1336.0,1043.0,11.8,256.0
1408.0,1153.0,15.1,295.0
1447.0,1081.0,12.9,250.0
1542.0,1184.0,16.1,296.0
1451.0,1117.0,14.0,239.0
1328.0,1059.0,12.3,153.0
1207.0,924.0,8.6,118.0
1240.0,947.0,9.2,119.0
1306.0,987.0,10.2,138.0
1326.0,1000.0,10.6,148.0
1473.0,1163.0,15.5,227.0
1609.0,1286.0,19.6,277.0
1611.0,1274.0,19.2,279.0
1621.0,1247.0,18.3,283.0
1444.0,1089.0,13.1,214.0
1418.0,1010.0,10.9,172.0
1534.0,1013.0,11.0,190.0
1484.0,1045.0,11.9,174.0
1367.0,925.0,8.6,128.0
1344.0,968.0,9.7,180.0
1130.0,773.0,5.2,70.0
1062.0,691.0,3.7,53.0
1076.0,618.0,2.5,44.0
1028.0,615.0,2.4,74.0
1155.0,722.0,4.2,101.0
1235.0,828.0,6.4,118.0
1332.0,923.0,8.6,144.0
1445.0,1009.0,10.9,176.0
1416.0,1002.0,10.7,161.0
1281.0,880.0,7.5,113.0
1207.0,879.0,7.5,103.0
1258.0,906.0,8.2,112.0
1458.0,1045.0,11.9,170.0
1438.0,1051.0,12.0,180.0
1478.0,1055.0,12.2,160.0
1808.0,1312.0,20.6,261.0
1898.0,1381.0,23.1,325.0
1560.0,1140.0,14.7,217.0
1324.0,940.0,9.0,146.0
1349.0,933.0,8.8,152.0
1239.0,872.0,7.4,104.0
1239.0,853.0,6.9,106.0
1224.0,855.0,7.0,108.0
1078.0,734.0,4.4,180.0
1078.0,711.0,4.0,66.0
1075.0,703.0,3.9,88.0
1157.0,830.0,6.4,138.0
1314.0,966.0,9.7,228.0
1797.0,1451.0,25.9,360.0
1961.0,1701.0,36.7,478.0
1771.0,1470.0,26.6,394.0
1564.0,1300.0,20.1,319.0
1430.0,1120.0,14.1,201.0
1417.0,1146.0,14.9,171.0
1400.0,1162.0,15.4,159.0
1317.0,1053.0,12.1,153.0
1318.0,1033.0,11.5,143.0
1445.0,1141.0,14.8,156.0
1917.0,1601.0,32.1,314.0
2040.0,1754.0,39.2,404.0
1895.0,1573.0,31.0,320.0
1595.0,1294.0,19.9,256.0
1439.0,1159.0,15.3,193.0
1142.0,852.0,6.9,89.0
1304.0,1019.0,11.1,127.0
1074.0,784.0,5.4,79.0
968.0,640.0,2.8,43.0
929.0,608.0,2.3,180.0
941.0,626.0,2.6,59.0
937.0,585.0,2.0,38.0
1017.0,681.0,3.5,82.0
1171.0,770.0,5.1,99.0
1541.0,1185.0,16.2,263.0
1539.0,1287.0,19.7,229.0
1735.0,1431.0,25.1,396.0
1571.0,1297.0,20.0,314.0
1452.0,1250.0,18.3,217.0
1579.0,1359.0,22.3,252.0
1466.0,1309.0,20.4,263.0
1280.0,1136.0,14.6,180.0
1407.0,1197.0,16.6,184.0
1389.0,1173.0,15.8,190.0
1447.0,1235.0,17.8,184.0
1551.0,1271.0,19.1,181.0
1474.0,1173.0,15.8,166.0
1800.0,1426.0,24.9,317.0
